"","over_60","partnered","living_alone","Home_owner","young_child","Numb_dep","Have_dep","Main_carer_dep","PPeligible","IWSSUCP8","SIHPSWT"
"381",0,1,0,0,NA,0,0,0,0,2259,1649.8679724428
"382",0,1,0,0,NA,0,0,0,0,2445,1649.8679724428
"383",0,0,1,0,NA,0,0,0,0,1300,1649.8679724428
"384",0,1,0,1,21,2,1,1,0,4494,137.093594074091
"385",0,1,0,1,21,2,1,1,0,0,137.093594074091
"386",0,1,0,0,21,2,1,1,0,360,137.093594074091
"387",0,1,0,0,21,2,1,1,0,0,137.093594074091
"388",0,0,1,0,NA,0,0,0,0,392,137.093594074091
"389",0,1,0,0,NA,0,0,0,0,1496,849.592224053826
"390",0,1,0,0,NA,0,0,0,0,4386,849.592224053826
"391",0,0,1,1,NA,0,0,0,0,1044,883.234763069568
"392",0,1,0,1,3,3,1,0,0,0,2431.71967388547
"393",0,1,0,1,3,3,1,0,0,0,2431.71967388547
"394",1,0,1,0,NA,0,0,0,0,0,2431.71967388547
"395",0,1,0,1,19,1,1,1,0,1214,816.868640597504
"396",0,1,0,1,19,1,1,1,0,1168,816.868640597504
"397",0,1,0,0,19,1,1,1,0,0,816.868640597504
"398",0,1,0,0,9,2,1,0,0,1572,747.431464351723
"399",0,1,0,0,9,2,1,1,0,0,747.431464351723
"400",0,1,0,0,13,1,1,0,0,0,251.747572099566
"401",0,1,0,0,13,1,1,1,0,0,251.747572099566
"402",0,1,0,1,8,4,1,0,0,1530,838.953906088457
"403",0,1,0,1,8,4,1,1,0,0,838.953906088457
"404",0,1,0,0,8,4,1,1,0,0,838.953906088457
"405",0,1,0,1,NA,0,0,0,0,0,787.567096655461
"406",0,1,0,1,NA,0,0,0,0,750,787.567096655461
"407",1,0,1,1,NA,0,0,0,0,0,874.352376713856
"408",0,1,0,1,19,2,1,1,0,708,1896.01182352597
"409",0,1,0,1,19,2,1,1,0,2566,1896.01182352597
"410",0,1,0,0,19,2,1,1,0,158,1896.01182352597
"411",0,1,0,0,19,2,1,1,0,215,1896.01182352597
"412",0,0,1,0,NA,0,0,0,0,112,444.40116229531
"413",1,1,0,1,NA,0,0,0,0,0,1190.37403566718
"414",1,1,0,1,NA,0,0,0,0,0,1190.37403566718
"415",0,1,0,0,2,1,1,1,1,0,785.19273632353
"416",0,1,0,0,2,1,1,0,0,550,785.19273632353
"417",0,0,0,0,2,2,1,1,1,0,399.889327934788
"418",0,0,1,0,NA,0,0,0,0,0,399.889327934788
"419",0,1,0,1,NA,0,0,0,0,2134,192.486929365914
"420",0,1,0,1,NA,0,0,0,0,0,192.486929365914
"421",1,1,0,1,NA,0,0,0,0,0,659.001241329598
"422",1,1,0,1,NA,0,0,0,0,0,659.001241329598
"423",0,0,1,0,NA,0,0,0,0,0,544.612471465546
"424",1,1,0,1,NA,0,0,0,0,2037,1017.04407679327
"425",1,1,0,1,NA,0,0,0,0,0,1017.04407679327
